(METAR weather station sites operated by the U.S. Department of Defense)
KAAA – Logan County Airport – Lincoln, Illinois
KAAF – Apalachicola Regional Airport – Apalachicola, Florida
KAAO – Colonel James Jabara Airport – Wichita, Kansas
KAAS – Taylor County Airport – Campbellsville, Kentucky
KAAT – Alturas Municipal Airport – Alturas, California
KABE – Lehigh Valley International Airport – Allentown, Bethlehem and Easton, Pennsylvania
KABI – Abilene Regional Airport – Abilene, Texas
KABQ – Albuquerque International Sunport – Albuquerque, New Mexico
KABR – Aberdeen Regional Airport – Aberdeen, South Dakota
KABY – Southwest Georgia Regional Airport – Albany, Georgia
KACB – Antrim County Airport – Bellaire, Michigan
KACJ – Souther Field – Americus, Georgia
KACK – Nantucket Memorial Airport – Nantucket, Massachusetts
KACP – Allen Parish Airport – Oakdale, Louisiana
KACQ – Waseca Municipal Airport – Waseca, Minnesota
KACT – Waco Regional Airport – Waco, Texas
KACV – Arcata-Eureka Airport – Arcata, California
KACY – Atlantic City International Airport – Atlantic City, New Jersey
KACZ – Henderson Field – Wallace, North Carolina
KADC – Wadena Municipal Airport – Wadena, Minnesota
KADG – Lenawee County Airport – Adrian, Michigan
KADH – Ada Municipal Airport – Ada, Oklahoma
KADM – Ardmore Municipal Airport – Ardmore, Oklahoma
KADS – Addison Airport – Addison, Texas
KADT – Atwood-Rawlins County City-County Airport – Atwood, Kansas
KADU – Audubon County Airport – Audubon, Iowa
KADW – Andrews Air Force Base – Camp Springs, Maryland
KAEG – Double Eagle II Airport – Albuquerque, New Mexico
KAEJ – Central Colorado Regional Airport – Buena Vista, Colorado
KAEL – Albert Lea Municipal Airport – Albert Lea, Minnesota
KAEX – Alexandria International Airport – Alexandria, Louisiana
KAFF – United States Air Force Academy Airfield – Colorado Springs, Colorado
KAFJ – Washington County Airport – Washington, Pennsylvania
KAFK – Nebraska City Municipal Airport – Nebraska City, Nebraska
KAFN – Jaffrey Airport – Silver Ranch Airpark – Jaffrey, New Hampshire
KAFO – Afton Municipal Airport – Afton, Wyoming
KAFP – Anson County Airport – Wadesboro, North Carolina
KAFW – Fort Worth Alliance Airport – Fort Worth, Texas
KAGC – Allegheny County Airport – West Mifflin, Pennsylvania
KAGO – Magnolia Municipal Airport – Magnolia, Arkansas
